Sample;SUM+LOI; Sum (%);LOI (%);Test;Weight;Na2O (%);MgO (%);Al2O3 (%);SiO2 (%);K2O (%);CaO (%);TiO2 (%);Fe2O3 (%);MnO (%);P2O5 (%)
SBC-1 (brush greek shale);99.765;90.065;9.70;LOI EQUATION_1stRun;13.200;0.30;2.81;21.07;48.01;3.44;2.98;0.88;9.91;0.16;0.29
SBC-1 (brush greek shale);99.231;89.531;9.70;LOI EQUATION_2ndRun;13.200;0.06;2.71;21.08;47.64;3.44;3.06;0.86;10.01;0.16;0.30
SBC-1 (brush greek shale);99.441;89.741;9.70;LOI EQUATION_3rdRun;13.200;0.01;2.70;21.20;47.89;3.50;3.03;0.88;9.86;0.16;0.30
SBC-1 (brush greek shale);99.646;90.076;9.57;LOI COMPANY_1stRun;13.200;0.30;2.81;21.07;48.02;3.44;2.98;0.88;9.91;0.16;0.29
SBC-1 (brush greek shale);99.111;89.541;9.57;LOI COMPANY_2ndRun;13.200;0.06;2.71;21.08;47.65;3.44;3.06;0.86;10.01;0.16;0.30
SBC-1 (brush greek shale);99.322;89.752;9.57;LOI COMPANY_3rdRun;13.200;0.01;2.70;21.20;47.89;3.50;3.03;0.88;9.86;0.16;0.30
SBC-1 (brush greek shale);99.921;90.051;9.87;LOI CALCINATION_1stRun;13.200;0.30;2.80;21.06;48.00;3.44;2.98;0.88;9.91;0.16;0.29
SBC-1 (brush greek shale);99.387;89.517;9.87;LOI CALCINATION_2ndRun;13.200;0.06;2.71;21.08;47.64;3.43;3.06;0.86;10.01;0.16;0.30
SBC-1 (brush greek shale);99.597;89.727;9.87;LOI CALCINATION_3rdRun;13.200;0.01;2.70;21.20;47.88;3.50;3.03;0.88;9.86;0.16;0.30
SBC-1 (brush greek shale);102.127;91.427;10.70;LOI EQUATION_1stRun;13.000;-0.02;2.87;21.20;48.63;3.60;3.17;0.92;10.37;0.16;0.30
SBC-1 (brush greek shale);102.383;91.683;10.70;LOI EQUATION_2ndRun;13.000;0.07;2.80;21.30;48.53;3.65;3.20;0.87;10.53;0.16;0.29
SBC-1 (brush greek shale);102.008;91.308;10.70;LOI EQUATION_3rdRun;13.000;0.00;2.62;21.27;48.74;3.60;3.15;0.93;10.34;0.17;0.28
SBC-1 (brush greek shale);101.077;91.507;9.57;LOI COMPANY_1stRun;13.000;-0.02;2.87;21.22;48.68;3.60;3.18;0.92;10.38;0.16;0.30
SBC-1 (brush greek shale);101.333;91.763;9.57;LOI COMPANY_2ndRun;13.000;0.07;2.80;21.32;48.58;3.65;3.20;0.87;10.54;0.16;0.29
SBC-1 (brush greek shale);100.958;91.388;9.57;LOI COMPANY_3rdRun;13.000;0.00;2.63;21.29;48.78;3.60;3.15;0.93;10.34;0.17;0.28
SBC-1 (brush greek shale);101.355;91.485;9.87;LOI CALCINATION_1stRun;13.000;-0.02;2.87;21.22;48.67;3.60;3.18;0.92;10.38;0.16;0.30
SBC-1 (brush greek shale);101.612;91.742;9.87;LOI CALCINATION_2ndRun;13.000;0.07;2.80;21.31;48.56;3.65;3.20;0.87;10.54;0.16;0.29
SBC-1 (brush greek shale);101.237;91.367;9.87;LOI CALCINATION_3rdRun;13.000;0.00;2.63;21.29;48.77;3.60;3.15;0.93;10.34;0.17;0.28
SBC-1 (brush greek shale);103.222;93.062;10.16;LOI EQUATION_1stRun;12.800;-0.06;2.86;21.28;49.36;3.68;3.35;0.94;10.91;0.17;0.30
SBC-1 (brush greek shale);103.274;93.114;10.16;LOI EQUATION_2ndRun;12.800;-0.04;2.68;21.39;49.27;3.72;3.43;0.93;11.02;0.16;0.29
SBC-1 (brush greek shale);103.150;92.990;10.16;LOI EQUATION_3rdRun;12.800;0.09;2.58;21.37;49.40;3.68;3.31;0.95;10.87;0.18;0.30
SBC-1 (brush greek shale);102.667;93.097;9.57;LOI COMPANY_1stRun;12.800;-0.06;2.86;21.29;49.38;3.68;3.35;0.94;10.92;0.17;0.30
SBC-1 (brush greek shale);102.719;93.149;9.57;LOI COMPANY_2ndRun;12.800;-0.04;2.68;21.40;49.28;3.72;3.43;0.93;11.02;0.16;0.29
