Sample,Na2O,MgO,Al2O3,SiO2,P2O5,S,K2O,CaO,TiO2,Fe2O3,Rb,Sr,Y,Zr,Nb,Ba,Th,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Sn,V,Cl,Mn,LOI,initial weight,final weight,Weight
N1,0.0365,0.0269,0.1543,0.591,0.0005022,0.0005,0.011,0.0434,0.0054,0.0723,0.0000586,0.000198,0.0000271,0.0001357,0.0000253,0.001276,0.000006,0.000017,0,0.000004,0.0000692,0.0000724,0.0000165,0.0000013,0.0000075,0.0000108,0.0000837,0.0001121,0.001375,6.05,13.2,13.071,0.129
N2,0.0078,0.0407,0.1268,0.5592,0.0008355,0.0007,0.0254,0.0503,0.0076,0.051,0.0001457,0.0000912,0.0000234,0.0001795,0.0000311,0.0009138,0.0000042,0.0003328,0.0000031,0.0002079,0.0000173,0.0000765,0.0000178,0.0000174,0,0.0000029,0.0001069,0.0004077,0.0005592,14.13,13.2,12.974,0.226
N3,0.0055,0.0394,0.123,0.5641,0.0008962,0,0.0247,0.0599,0.0075,0.0506,0.0001341,0.0001089,0.0000211,0.000175,0.0000282,0.001087,0.0000018,0.0003028,0,0.0001996,0.0000191,0.0000705,0.0000144,0.000016,0,0.0000122,0.0000328,0.0002974,0.0005136,12.38,13.2,12.995,0.205
N4,0.0051,0.0257,0.1875,0.4649,0.0002921,0,0.0236,0.0275,0.0102,0.093,0.000114,0.0000983,0.000033,0.0002188,0.0000279,0.001404,0.0000077,0.0000936,0.0000087,0.0000813,0.0000504,0.0000926,0.0000232,0.0000119,0.0000095,0.0000172,0.0000994,0.0000516,0.0008925,16.47,13.2,12.946,0.254
N5,0.0123,0.0231,0.1031,0.4387,0.0006366,0,0.0178,0.1755,0.0049,0.0412,0.0000611,0.0000807,0.0000237,0.0001621,0.0000248,0.001387,0.32 PPM,0.0000482,0,0.0000219,0.0000312,0.0000334,0.0000137,0.0000077,0,0.00002,0.0000475,0.0001244,0.0002899,19.13,13.2,12.914,0.286
N6,0.0258,0.0306,0.1509,0.621,0.001179,0,0.0144,0.0282,0.0077,0.0663,0.0000798,0.0001517,0.0000262,0.0001959,0.0000185,0.001678,0.0000052,0.0000807,0.0000282,0.0000353,0.0000481,0.000089,0.0000174,0.0000048,0.0000213,0.000018,0.0000647,0.0000549,0.0007967,5.05,13.2,13.083,0.117
N7,0.0344,0.0035,0.1344,0.7304,0.0005238,0,0.0418,0.0064,0.0016,0.012,0.0002016,0.0000583,0.0000911,0.000209,0,0.001322,0.0000248,0.0000015,0,0.000006,0.0000145,0.0000092,0.0000192,0.0000062,0.000023,0.0000227,0,0.0000576,0.0001929,4.55,13.2,13.089,0.111
N8,0.0173,0.015,0.1739,0.6143,0.0000768,0,0.0432,0.0129,0.0065,0.0532,0.0001726,0.0002058,0.0000417,0.0002545,0.0000044,0.001439,0.0000053,0.000037,0,0.0000168,0.0000319,0.0000835,0.0000224,0.0000084,0.0000219,0.0000151,0.0000422,0.000051,0.0004315,6.55,13.2,13.065,0.135
N9,0.0021,0.1108,0.1475,0.448,0.0008081,0,0.0057,0.0376,0.0125,0.0886,0.0000227,0.0001216,0.0000206,0.0002351,0.0000381,0.001583,0.0000094,0.0001505,0.0000374,0.0000736,0.0000986,0.0000706,0.0000191,0.0000051,0,0.0000011,0.0001188,0.0000519,0.001055,14.3,13.2,13.972,-0.772
N10,0.0057,0.0328,0.1687,0.5679,0.0001444,0,0.0155,0.0111,0.0081,0.0719,0.0000862,0.0000827,0.0000269,0.0001856,0.0000238,0.001498,0.0000053,0.000254,0.00001,0.0001532,0.0000599,0.0000793,0.0000158,0.0000058,0.0000063,0.0000057,0.0000882,0.0000529,0.00105,12.13,13.2,12.998,0.202
